# jharv3 independent raw measurements of shard C rows on .112 and .121, taken from .108 via .102.
# NOT a verdict file. This is the measurement jharv2 asked to cross-check against verdicts_shard_c_80_recovered.tsv.
# host	path	state	head	branch	main_sha	own	differ	novel	super	nadd	ndel	code_add	trk_edits	subject	evidence(file|sha_head|sha_main|lines_head|lines_main)
112	/home/reyerchu/_a1456	OK	3d13e2c59eb0e65527326b1f932050550c982188	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	0	0	0	0	0	0	0	1	[v1.10.39] candidate batch R3 	-|-|-|0|0
112	/home/reyerchu/_a1610	OK	66ed68a707f0237a47acfeb6fe87937316b7a780	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	1	1	78	1452	78	0	arm 1610 	vibe-ic-marketplace/plugins/vibe-ic/programs/matrix_mutation_ledger.py|cc2c42d7598a880e|92864809ff416bea|2686|3227
112	/home/reyerchu/_batch41	OK	6c91641b85f489d839036bed3dcdce9d6152cf4e	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	65	33	23	9	1034	5564	833	0	Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD 	benchmark-data/ic/INDEX.md|ef98fd8a58995747|ABSENT_ON_MAIN|84|0
112	/home/reyerchu/_batch42	OK	2a942150b9895db1e0350c8a15e6374e9e0f12d4	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	67	33	23	9	1061	5879	860	0	Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD 	benchmark-data/ic/INDEX.md|ef98fd8a58995747|ABSENT_ON_MAIN|84|0
112	/home/reyerchu/_batch43	OK	6e90026c05fdd0c7d33641b2eeeb99438f127380	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	67	32	22	9	1059	5877	858	0	Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD 	benchmark-data/ic/INDEX.md|ef98fd8a58995747|ABSENT_ON_MAIN|84|0
112	/home/reyerchu/_batch7	OK	471490960c60e547296990ab83f5188ef0a490df	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	9	5	4	1	370	1472	370	0	Merge remote-tracking branch 'origin/fix/1451-census-freshness-aggregate-bound' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_host_independence_check.py|2f3d35840b14869d|9f1890efeaf4db6f|885|1434
112	/home/reyerchu/_batch96	OK	35bdad45f135b8bb92c2c149e40b4abae65e86c2	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	221	108	79	28	5057	33030	3769	0	Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD 	benchmark-data/evaluation/verilogeval_human/RESULT.md|8863d380f14625ce|ABSENT_ON_MAIN|144|0
112	/home/reyerchu/_batchX	OK	3ee007b6eaf4dc194cff74bc4db4b421ec9ffdb0	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	211	103	74	28	4701	30109	3622	0	Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD 	benchmark-data/evaluation/verilogeval_human/RESULT.md|8863d380f14625ce|ABSENT_ON_MAIN|144|0
112	/home/reyerchu/_cpath_priv/basetree	OK	46db018669cbd98a2bf6738235edaa03b2ae32a7	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	0	0	0	0	0	0	0	0	eda-image: ask which image is current instead of remembering a version [v1.11.7] 	-|-|-|0|0
112	/home/reyerchu/_ctrl1532	OK	fa0ce6f8ad97f660f63727fd4897d726d8656828	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	1	1	1	0	229	770	229	0	Merge remote-tracking branch 'origin/fix/1451-census-outcome-runs-in-parallel' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_matrix_63x8_coverage.py|cf346821e5c44a50|a4d24bbdfb51c0ad|1708|2249
112	/home/reyerchu/_ctrl2	OK	09eee05443e037fbc296692236e9967558ce4c05	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	3	2	1	1	256	1217	256	0	Merge remote-tracking branch 'origin/fix/1208-gatekeeper-review-subprocess-bound' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_matrix_63x8_coverage.py|cf346821e5c44a50|a4d24bbdfb51c0ad|1708|2249
112	/home/reyerchu/_ctrl3	OK	9a037726e0550f2e0deaeeb239723f2b696216cf	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	7	6	4	2	444	1436	444	0	Merge remote-tracking branch 'origin/fix/1181-consolidate-aggregate-bound' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_discloses_denominator_check.py|221de674a19d564d|17fa7046f9b124ec|1266|1272
112	/home/reyerchu/_gf180_priv/wt	OK	5240ead2c7ee91bdafedf86c8fb634f169461a64	gf180/chip-path-captures	a00f53f2094812041c8aa6094f27058bc1b14ddd	10	5	4	1	178	783	178	0	report audit: a Magic transcript puts its verdict at the end, and we read the front 	vibe-ic-marketplace/plugins/vibe-ic/programs/eda_report_audit.py|efa3beae99e7d838|59f06a281b1c841a|2537|2806
112	/home/reyerchu/_gf180_priv/wt2	OK	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	0	0	0	0	0	0	0	0	landing(ACTIVATE): wire what the fourteen lanes shipped, and redden the one clause that could not go red [v1.11.33] 	-|-|-|0|0
112	/home/reyerchu/_i_batch103	OK	e539d0622eaf27075ec6443b74afd450ccb3d222	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	255	137	109	27	5686	36221	4652	0	probe: regenerate INDEX.md — the 12 INDEX-only members merged CLEAN, so no conflict stop fired and the counter was left at 1080 for a 1092-program tree 	benchmark-data/evaluation/verilogeval_human/RESULT.md|8863d380f14625ce|ABSENT_ON_MAIN|144|0
112	/home/reyerchu/_i_batchv2	OK	5f8de0427b706e76681505a605204bf54d62df56	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	245	131	106	24	5645	35825	4756	0	probe: regenerate INDEX.md after batch assembly 	benchmark-data/evaluation/verilogeval_human/RESULT.md|8863d380f14625ce|ABSENT_ON_MAIN|144|0
