path	verdict	evidence
/home/reyerchu/_cpath_priv/tree	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/PROGRAM_INVENTORY.json sha256 97a3cdea3d296f2b (52 lines) differs from main:a00f53f20 7c6adee28bc9e00f (52 lines) - tip: 15.5ic: the gate comment names the refusal shape that was added after it (#1410) . nadd=81 ndel=354 code_add=65.
/home/reyerchu/_dens_priv/wt-jdrc1177	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/die_density_fill_gen.py sha256 6314f66aebc76ca4 (673 lines) differs from main:a00f53f20 67daa7281b615287 (679 lines) - die_density_fill_gen.py — DIE-WIDE dummy fill, by the PDK's OWN generator.. nadd=57 ndel=991 code_add=57.
/home/reyerchu/_fix11	RECOVER	rule R2: tools/ci/protected_landing_transition.json sha256 02bffed72931d54e (1 lines) differs from main:a00f53f20 cc2abdd9d01beeb5 (1 lines) - tip: landing: supply what the two refusals ask for, and make a killed STAGE nameable . nadd=9 ndel=322 code_add=8.
/home/reyerchu/_fix11_base	RECOVER	rule R2: tools/ci/protected_landing_transition.json sha256 53b6ca11c79b7884 (1 lines) differs from main:a00f53f20 cc2abdd9d01beeb5 (1 lines) - tip: landing: a marker probe must not ask its question through a pipe . nadd=50 ndel=676 code_add=49.
/home/reyerchu/_gk1347	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/checker_execution_wiring_audit.py sha256 57ec7afa4206f4ac (984 lines) differs from main:a00f53f20 396342e59c0c9398 (1242 lines) - checker_execution_wiring_audit.py — a checker only its own TEST runs has. nadd=348 ndel=643 code_add=338.
/home/reyerchu/_gk1734	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/ci_harness_timeout_ceiling_check.py sha256 c5debb1c90f0549a (2181 lines) differs from main:a00f53f20 dfe829dc07845130 (1990 lines) - ci_harness_timeout_ceiling_check.py — a test's own subprocess timeout must. nadd=585 ndel=190 code_add=585.
/home/reyerchu/_i1348	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_issue1348_census_table_partitions.py sha256 0906a239160f5477 (270 lines) is ABSENT from main:a00f53f20 entirely - A census row may not publish fewer cells than the dimension it names.. nadd=494 ndel=249 code_add=494.
/home/reyerchu/_jcapture	RECOVER	rule R2: RESULT.md sha256 d4dbe3d3a7f96779 (559 lines) is ABSENT from main:a00f53f20 entirely - DISTIL — six captured recoveries into the program layer. nadd=3252 ndel=6 code_add=3252.
/home/reyerchu/jf-63x8-work/basejm9	LANDED	rule L0: every file this branch owns is byte-identical to origin/main a00f53f2094812041c8aa6094f27058bc1b14ddd (blob-OID compare, which is a content hash of the exact bytes). nadd=0 (lines it has that main lacks) = 0. 8a9c5ad9e
/home/reyerchu/_jfeas	RECOVER	rule R2: RESULT.md sha256 dfc38eff8bab1105 (488 lines) is ABSENT from main:a00f53f20 entirely - RESULT — the feasibility gate can answer. nadd=562 ndel=805 code_add=546.
