path	verdict	evidence
/home/reyerchu/AI_IC_design/_jm9_base	LANDED	on host 121: it owns no files, so 'all 0 matched' would be vacuous; instead its whole tree f2a0cd73788 is byte-for-byte a tree origin/main publishes, at e36d81c0a39, against main a00f53f2094. A tree OID is a recursive content hash, so every file in it matches a state main published. Working tree clean. [worktree HEAD when judged: e36d81c0a39 -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [safe to delete: its head is reachable from `fix/jwire2-hygiene-wiring` in the clone, so the commit survives the directory]
/home/reyerchu/AI_IC_design/_jm9_wt	RECOVER	on host 121: 12 of the 19 files it owns differ from main. sha256(RESULT.md) = 9a80989317a450cb683ae0a807e433e490d074deff06acba1ea8b4e27bb5f397 here, (origin/main has no file at this path) on main (526 lines, a path main does not carry); that file is markdown, 526 lines — The ninth dimension — `verdict_consumed` [worktree HEAD when judged: bcb0beb669b -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [safe to delete: its head is ref `jm9/d9-verdict-consumed` in the clone, so the commit survives the directory]
/home/reyerchu/AI_IC_design/_jppasearch_wt	RECOVER	on host 121: 8 of the 8 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml) = afd8cf2c227170afecedffd2616591a5bd95938bdded8baf72e4595794b4b564 here, 5f691984067c906ff022a7d117f16e8aa268d0e2f32e64abe66d5a430d84e4ae on main (5991 lines here vs 6320 on main); that file is yaml, 5991 lines — Vibe-IC Phase 1+2+3 Canonical Flow Definition [worktree HEAD when judged: 8bd7fe74cd5 -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [safe to delete: its head is ref `jppasearch/ppa-search-layer` in the clone, so the commit survives the directory]
/home/reyerchu/AI_IC_design/wt-all	RECOVER	on host 121: 4 of the 4 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md) = c03d856e7a9f44c65cef2ef63246c86f20ff5893e7301775691784ea0f4a9dbd here, c05ce3142b82268618a9cfbfa8e7d1b14ea200433dae76c9d5641285b33e5e29 on main (2318 lines here vs 2386 on main); that file is markdown, 2317 lines — <!-- AUTO-GENERATED by tools/gen_programs_index.py — DO NOT EDIT BY HAND -->; 0 modified + 1 new uncommitted file(s) on no branch [worktree HEAD when judged: e6370636c5e -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit e6370636c5e is a parent of harvest/rescue-8hd-3-unreferenced on origin (anchor 17264157dbc), so `git fetch origin harvest/rescue-8hd-3-unreferenced && git checkout e6370636c5e` restores it even if the directory goes.]
/home/reyerchu/AI_IC_design/wt-all2	RECOVER	on host 121: 5 of the 5 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/gen_program_inventory.py) = 5706fed65098b448f6e63150f769b93330e2727fb4668d702d319e31296dbeca here, 5408f93c84b70f77546777f382118447af37cf80696b8f029a5640297309899e on main (604 lines here vs 597 on main); that file is python, 604 lines — gen_program_inventory.py — single source of truth for every stated count of [worktree HEAD when judged: 81ef726f88f -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit 81ef726f88f is a parent of harvest/rescue-8hd-3-unreferenced on origin (anchor 17264157dbc), so `git fetch origin harvest/rescue-8hd-3-unreferenced && git checkout 81ef726f88f` restores it even if the directory goes.]
/home/reyerchu/AI_IC_design/wt-gint-twopaths	RECOVER	on host 121: 3 of the 10 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/PROGRAM_INVENTORY.json) = 1a7927c8fdb810d3e575dd309f30161182a879d1586092878356746990070fea here, 7c6adee28bc9e00f312d524c2167cec0fa37901682ad13ed168e370cbb435439 on main (52 lines here vs 52 on main); that file is json, 52 lines — { [worktree HEAD when judged: fc4db8ecbd4 -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [safe to delete: its head is ref `int/two-paths-gint` in the clone, so the commit survives the directory]
/home/reyerchu/AI_IC_design/wt-jw2-placement	RECOVER	on host 121: 7 of the 7 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = 653324acd4d8011a59e443ac7c0ca975bd51e91e92291e30b506cbe06a91f12a here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (40003 lines here vs 41667 on main); that file is python, 40003 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS). [worktree HEAD when judged: aea73f4c6c1 -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [safe to delete: its head is ref `jw2/placement-legality-verdict` in the clone, so the commit survives the directory]
/home/reyerchu/AI_IC_design/wt-w3-unforgeable	RECOVER	on host 121: 8 of the 8 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/benchmark/score_iverilog_tb.py) = 9c4b72e17837c982b2e124a19242df14c0719bca9ea5a559be9d4a26081c2d16 here, fa31bd02e57d76e5eedb9a4360752d94f3d78627218825efe921fe91eb09fa87 on main (2618 lines here vs 2542 on main); that file is python, 2618 lines — score_iverilog_tb.py — generic iverilog-substitutes-VCS scorer for Shape B + Shape C. [worktree HEAD when judged: 57adb87274c -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [safe to delete: its head is ref `fix/1745-unforgeable-benchmark` in the clone, so the commit survives the directory]
/home/reyerchu/AI_IC_design/wt_jwire2	RECOVER	on host 121: 9 of the 9 files it owns differ from main. sha256(.github/PULL_REQUEST_TEMPLATE.md) = 7bdf0a675e6fb41f1badfdc9e0c3186c7c03ce582908c5589a1b1d92a2a1de6b here, ba823cfc2afc44cbbb9eefbd375dcd48470f3dfb19dc95d87baee30683e38658 on main (67 lines here vs 34 on main); that file is markdown, 67 lines — What this PR does [worktree HEAD when judged: 407fddc620a -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [safe to delete: its head is ref `fix/jwire2-hygiene-wiring` in the clone, so the commit survives the directory]
/home/reyerchu/_LRNdh	RECOVER	on host 121: 2 of the 2 files it owns differ from main. sha256(docs/research/2026-08-19-deepseek-harness-mechanism-study.md) = 5f15d4a09db18d1fa9d62cf7d8269d34f204cd70301787a3fb325cb42375d878 here, (origin/main has no file at this path) on main (280 lines, a path main does not carry); that file is markdown, 280 lines — deepseek-harness — four mechanisms against four measured vibe-ic defects; 2 modified + 1 new uncommitted file(s) on no branch [worktree HEAD when judged: 713f0209faa -- re-check this before acting; these hosts are live and three of these 80 moved between the first measurement and the second] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. Put it on a branch first -- `git -C <clone> branch <name> <sha>` -- or copy the files out. It IS preserved: commit 713f0209faa is a parent of harvest/rescue-8hd-3-unreferenced on origin (anchor 17264157dbc), so `git fetch origin harvest/rescue-8hd-3-unreferenced && git checkout 713f0209faa` restores it even if the directory goes.]
