host	repo	path	branch	head	state	nfiles	nnovel	nadd	ndel	code_add	trk_dirty	untracked	issue	cdate	verdict	rule	subject	topdirs	novelfiles	wtdir	why
105	/home/reyerchu/vibe-ic	/home/reyerchu/_fx63	(detached)	083cc7d43	UNLANDED	7	7	1107	47	1100	0	0		2026-08-20	RECOVER	R2	adversarial: adjudicate the five closures, 13 -> 8, and guard the generator	tools/gen_adversarial_findings.py,vibe-ic-marketplace/plugins	tools/gen_adversarial_findings.py,vibe-ic-marketplace/plugins/vibe-ic/programs/adversarial_agent.py,vibe-ic-marketplace/plugins/vibe-ic/programs/adversarial_findings.json,vibe-ic-marketplace/plugins/vibe-ic/programs/eda_report_audit.py,vibe-ic-marketplace/plugins/vibe-ic/programs/reports/phase3/antenna.json,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_adversarial_agent.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_evidence_binding_belongs_to_this_run.py		1100 authored lines absent from main (+7 regenerable)
105	/home/reyerchu/vibe-ic	/home/reyerchu/_j63	(detached)	b2e4e7ece	UNLANDED	8	8	1379	50	1374	0	0		2026-08-20	RECOVER	R2	signoff: I declared BLOCKING for five gates that cannot block, and broke four callers	tools/gen_adversarial_findings.py,vibe-ic-marketplace/plugins	tools/gen_adversarial_findings.py,vibe-ic-marketplace/plugins/vibe-ic/programs/_run_evidence_binding.py,vibe-ic-marketplace/plugins/vibe-ic/programs/adversarial_findings.json,vibe-ic-marketplace/plugins/vibe-ic/programs/eda_report_audit.py,vibe-ic-marketplace/plugins/vibe-ic/programs/erc_density_check.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_adversarial_agent.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_run_evidence_binding.py		1374 authored lines absent from main (+5 regenerable)
105	/home/reyerchu/vibe-ic	/home/reyerchu/_jf2	(detached)	cf9b878c0	UNLANDED	11	11	1746	116	1727	0	0		2026-08-20	RECOVER	R2	guard: a test wrote its gate's verdict into this repository, invisibly	tools/gen_adversarial_findings.py,vibe-ic-marketplace/plugins	tools/gen_adversarial_findings.py,vibe-ic-marketplace/plugins/vibe-ic/programs/_run_evidence_binding.py,vibe-ic-marketplace/plugins/vibe-ic/programs/adversarial_agent.py,vibe-ic-marketplace/plugins/vibe-ic/programs/adversarial_findings.json,vibe-ic-marketplace/plugins/vibe-ic/programs/eda_report_audit.py,vibe-ic-marketplace/plugins/vibe-ic/programs/erc_density_check.py,vibe-ic-marketplace/plugins/vibe-ic/programs/reports/phase3/antenna.json		1727 authored lines absent from main (+19 regenerable)
105	/home/reyerchu/vibe-ic	/home/reyerchu/_jppa_p0/tree	agent/jppa-p0-closed-loop-census	779e4eed5	UNLANDED	5	5	1627	1	1627	0	0		2026-08-21	RECOVER	R2	closed-loop: 18 of the 22 declared edges are a line of YAML, and the one list nobody checked was wrong	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/docs/PPA_CURRENT_STATE.md,vibe-ic-marketplace/plugins/vibe-ic/programs/closed_loop_executable_coverage_check.py,vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_closed_loop_executable_coverage.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_closed_loop_executable_coverage_affected_steps.py		1627 lines in 5 file(s) absent from main
105	/home/reyerchu/vibe-ic	/home/reyerchu/_jppa_runner/base	(detached)	867de4289	LANDED_FILE	0	0	0	0	0	0	0		2026-08-21	LANDED	L0	flow(ACTIVATE): retire step 37.5self — the general precheck is 37.5ic's SECOND ARM, not a third route [v1.11.18]				holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic	/home/reyerchu/_jppa_runner/tree	jppa-runner/hints-only-and-the-runner-ledger	8b0559050	UNLANDED	3	3	1376	13	1376	0	0		2026-08-21	RECOVER	R2	ppa: the mandatory PPA preflight had no CLI, so it read nothing and exited 0	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/readme_ppa_extractor.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_ppa_runner_extraction_ledger.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_ppa_runner_extraction_readme_hints.py		1376 lines in 3 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/_wt_synthfe	fix/synth-frontend-misattribution	50aedbdde	LANDED_FILE	0	0	0	0	0	1	1	918	2026-08-10	RECOVER	L2	Merge pull request #918 from vibeic/eda-fork-sync-2026-08-10			present	committed content is in main, but 1 tracked file(s) uncommitted
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/campaign_v164_spm_ihp/wt_hand	capture/foundry-handoff-declares-spec-pdk-not-signoff-pdk	ec02e8bc9	UNLANDED	2	1	27	695	27	0	0		2026-07-26	RECOVER	R2	fix(foundry-handoff): the tape-out pack declared the SPEC's target PDK, not the PDK that produced the GDS sitting next to it	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/foundry_handoff_pack_gen.py	present	27 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/campaign_v164_spm_ihp/wt_pdk	capture/pdk-undeclared-name-silent-sky130-substitution	5ff7ae810	UNLANDED	2	2	1537	16706	1537	0	0	211	2026-07-26	ABANDON	A6	fix(phase3-pdk): an UNDECLARED --pdk name silently resolved to sky130A — refuse it, as #211 already refuses the declared-but-unresolvable case	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_pdk_undeclared_name_refuses_sky130_substitution.py	present	issue #211 landed as 351ba3146 "docs(formal): correct the issue cross-reference #211 -> #216 in the en"; this tree is 16706 lines behind main and holds 1537 authored - a superseded attempt
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/campaign_v164_spm_ihp/wt_pdkfail	fix/pdk-fail-closed-and-cmos5l-registry	a6677f1d4	UNLANDED	8	7	2625	17737	2562	0	0	389	2026-07-26	ABANDON	A6	fix(#389): fail closed on an unknown --pdk on EVERY lane; register ihp-sg13cmos5l	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md,vibe-ic-marketplace/plugins/vibe-ic/programs/pdk_registry.json,vibe-ic-marketplace/plugins/vibe-ic/programs/pdk_registry_image_consistency_check.py,vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_gf180_registry_assets_resolve.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_issue389_pdk_registry_image_consistency.py	present	issue #389 landed as a88bedb75 "fix(#389 + phase1/L9 + provenance): close two live fail-open --pdk lan"; this tree is 17737 lines behind main and holds 2562 authored - a superseded attempt
