path	verdict	evidence
/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	LANDED	whole tree 86df130761f is byte-for-byte a tree origin/main publishes, at 74ac9fa788f (2026-08-19), against main a00f53f2094. (Partial checkout: files main has are absent from disk, none modified.) [worktree HEAD when judged: 74ac9fa788f -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `main` in the clone, so the commit survives the directory]
/home/reyerchu/.codex/.tmp/marketplaces/.staging/marketplace-upgrade-WiJcVG	LANDED	whole tree dad63c6603a is byte-for-byte a tree origin/main publishes, at 116bcb5a82e (2026-08-18), against main a00f53f2094. [worktree HEAD when judged: 116bcb5a82e -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `main` in the clone, so the commit survives the directory]
/home/reyerchu/.codex/.tmp/marketplaces/vibe-ic-marketplace	RECOVER	its HEAD holds nothing main lacks, but the WORKING TREE holds 0 modified + 1 new non-ignored file(s) that are on no branch at all. sha256(UNCOMMITTED[NEW:.codex-marketplace-install.json]) = (not on disk) here, - on main (-); that file is (not on disk) [worktree HEAD when judged: 116bcb5a82e -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `main` in the clone, so the commit survives the directory]
/home/reyerchu/_act	RECOVER	1 of the 1 files it owns hold bytes main does not have. sha256(tools/ci/protected_landing_transition.json) = d19558ca55e66032af9a1f5780b1bb830dd0aa2f5f9e17b09b0612f0810d1c76 here, cc2abdd9d01beeb5269d62eb7e757cfd0deff57a6bcfab9b3b5bc7471ce654f5 on main (+1/-1 lines vs main); that file is json, 1 lines — {"current":{"files":[{"blob_oid":"51e5aea2fb682b23c67e9927a8fe5c800eaeed4d","mode":"100644","path":"tools/ci/_gate_dispatch.sh","sha256":"bc52987bafe4 [worktree HEAD when judged: f7b8ad0e009 -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `fix/protected-roll-current-forward` in the clone, so the commit survives the directory]
/home/reyerchu/_adv901/wt_mainfix	RECOVER	5 of the 5 files it owns hold bytes main does not have. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/flow_compliance_check.py) = eb41a3d45aab977c31575bdab13203f7c467c8c7b3e3972f5ae9add53c786370 here, 181e2fd17aa5ec0aa811252d5e89767ebc62b055c8dcea4a4ed6451b8179b38f on main (+323/-938 lines vs main); that file is python, 12398 lines — flow_compliance_check.py — Strict Vibe-IC phase 2+3 gate (40 main-track [worktree HEAD when judged: 26af454e9de -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `adv901/rebase-check` in the clone, so the commit survives the directory]
/home/reyerchu/_adv_f4_wt	RECOVER	4 of the 4 files it owns hold bytes main does not have. sha256(tools/gatekeeper-land.sh) = 43c2ecc6a65292ba93513229c909f549709b165ac22d59fd1e5cd051de24cfe2 here, 6f771cc98d2a907b6b6fe81070cbaace2def23aea8e91b323465eb69a3c4c2a9 on main (+188/-841 lines vs main); that file is shell, 901 lines — gatekeeper-land.sh — everything `gatekeeper-ci.yml` and `ci.yml` would have run, [worktree HEAD when judged: e951898bb63 -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `perf/front4-targeted-arm-exact-repeat-cache` in the clone, so the commit survives the directory]
/home/reyerchu/_adv_final	RECOVER	its HEAD holds nothing main lacks, but the WORKING TREE holds 0 modified + 88 new non-ignored file(s) that are on no branch at all. sha256(UNCOMMITTED[NEW:benchmark-data/evaluation/phase1_parity/espi/reports/audit/phase23_completion_audit.json) = (not on disk) here, - on main (-); that file is (not on disk) [worktree HEAD when judged: e71fb63ecdb -- re-measure before acting; these hosts are live] [safe to delete: its head is reachable from `b43/1655` in the clone, so the commit survives the directory]
/home/reyerchu/_adv_mutb	RECOVER	1 of the 15 files it owns hold bytes main does not have. sha256(tools/ci/gate_fixture_debt.json) = daa6c680e29ad86d9ec55bc740bec4912a4983393d30a5bca6f8f260077b5331 here, 14da61cb9c65ce62b8a26ba8204b9f2f7078617cc2c41c9f668d0dec2f67e333 on main (+18/-0 lines vs main); that file is json, 458 lines — { [worktree HEAD when judged: 34ff03a5dc6 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. It IS preserved: commit 34ff03a5dc6 is a parent of harvest/rescue-8HD-7-1-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-7-1-vibe-ic && git checkout 34ff03a5dc6` restores it even if the directory goes.]
/home/reyerchu/_adv_w7	RECOVER	4 of the 15 files it owns hold bytes main does not have. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md) = 27a4ead99e4d90e5fe7c2e631b9413800b669090fac325bfad29a50f2bda1234 here, c05ce3142b82268618a9cfbfa8e7d1b14ea200433dae76c9d5641285b33e5e29 on main (+8/-92 lines vs main); that file is markdown, 2302 lines — <!-- AUTO-GENERATED by tools/gen_programs_index.py — DO NOT EDIT BY HAND --> [worktree HEAD when judged: 1d9edfd8dc6 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. It IS preserved: commit 1d9edfd8dc6 is a parent of harvest/rescue-8HD-7-1-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-7-1-vibe-ic && git checkout 1d9edfd8dc6` restores it even if the directory goes.]
/home/reyerchu/_adv_wt	RECOVER	4 of the 4 files it owns hold bytes main does not have. sha256(tools/gatekeeper-land.sh) = 43c2ecc6a65292ba93513229c909f549709b165ac22d59fd1e5cd051de24cfe2 here, 6f771cc98d2a907b6b6fe81070cbaace2def23aea8e91b323465eb69a3c4c2a9 on main (+188/-841 lines vs main); that file is shell, 901 lines — gatekeeper-land.sh — everything `gatekeeper-ci.yml` and `ci.yml` would have run, [worktree HEAD when judged: e951898bb63 -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `perf/front4-targeted-arm-exact-repeat-cache` in the clone, so the commit survives the directory]
/home/reyerchu/_advenv_fix	RECOVER	5 of the 5 files it owns hold bytes main does not have. sha256(tools/gatekeeper-land.sh) = 0b4e84a91958de8235daf4f814167470173d781e01b36bbc7acde24e74f36b91 here, 6f771cc98d2a907b6b6fe81070cbaace2def23aea8e91b323465eb69a3c4c2a9 on main (+129/-841 lines vs main); that file is shell, 842 lines — gatekeeper-land.sh — everything `gatekeeper-ci.yml` and `ci.yml` would have run, [worktree HEAD when judged: 77baf18a9bd -- re-measure before acting; these hosts are live] [safe to delete: its head is ref `work5/xdist-parallel-policy` in the clone, so the commit survives the directory]
/home/reyerchu/_advhyg_atomic	RECOVER	1 of the 1 files it owns hold bytes main does not have. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/tapeout_readiness_check.py) = 982ae1d4d1056ac1346da44a6afe21d19cb781545cf92ae7743b905faae7d27f here, 96053096837fd7f243d228dc273b350da3d4a9d70f555ca999e2de580bc0dcba on main (+5/-149 lines vs main); that file is python, 910 lines — tapeout_readiness_check.py — the EXTERNAL refusal interface, pointed at a [worktree HEAD when judged: 5746324021f -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. It IS preserved: commit 5746324021f is a parent of harvest/rescue-8HD-7-1-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-7-1-vibe-ic && git checkout 5746324021f` restores it even if the directory goes.]
/home/reyerchu/_advhyg_liar	RECOVER	2 of the 3 files it owns hold bytes main does not have. sha256(tools/ci/repo_hygiene_gates.sh) = f6b0d15e32e530a21dca8672c4cc7d91bbd53d2370425e99b94638dcdedce7a3 here, c311b8d27416b22c292c2cb0289e2668a7f5859a43bb4480c3c6ce389d12b861 on main (+45/-194 lines vs main); that file is shell, 1504 lines — tools/ci/repo_hygiene_gates.sh — the repo-wide invariant gates, in ONE place. [worktree HEAD when judged: a3cf61591d4 -- re-measure before acting; these hosts are live] [**DELETING THIS DIRECTORY DESTROYS THE COMMIT**: its head is on no ref in the clone, so the worktree's own HEAD is the only pointer to it. It IS preserved: commit a3cf61591d4 is a parent of harvest/rescue-8HD-7-1-vibe-ic on origin, so `git fetch origin harvest/rescue-8HD-7-1-vibe-ic && git checkout a3cf61591d4` restores it even if the directory goes.]
