host	path	verdict	evidence
112	/home/reyerchu/_a1456	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: [v1.10.39] candidate batch R3
112	/home/reyerchu/_a1610	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/matrix_mutation_ledger.py: sha256 cc2c42d7598a880e in this tree vs 92864809ff416bea on main a00f53f20; 78 lines across 2 file(s) absent from main (1452 lines behind). tip: arm 1610
112	/home/reyerchu/_batch41	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 1034 lines across 33 file(s) absent from main (5564 lines behind). tip: Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD
112	/home/reyerchu/_batch42	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 1061 lines across 33 file(s) absent from main (5879 lines behind). tip: Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD
112	/home/reyerchu/_batch43	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 1059 lines across 32 file(s) absent from main (5877 lines behind). tip: Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD
112	/home/reyerchu/_batch7	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_host_independence_check.py: sha256 2f3d35840b14869d in this tree vs 9f1890efeaf4db6f on main a00f53f20; 370 lines across 5 file(s) absent from main (1472 lines behind). tip: Merge remote-tracking branch 'origin/fix/1451-census-freshness-aggregate-bound' into HEAD
112	/home/reyerchu/_batch96	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 5057 lines across 108 file(s) absent from main (33030 lines behind). tip: Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD
112	/home/reyerchu/_batchX	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 4701 lines across 103 file(s) absent from main (30109 lines behind). tip: Merge remote-tracking branch 'origin/eda-anchor-0.2.95' into HEAD
112	/home/reyerchu/_cpath_priv/basetree	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: eda-image: ask which image is current instead of remembering a version [v1.11.7]
112	/home/reyerchu/_ctrl1532	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_matrix_63x8_coverage.py: sha256 cf346821e5c44a50 in this tree vs a4d24bbdfb51c0ad on main a00f53f20; 229 lines across 1 file(s) absent from main (770 lines behind). tip: Merge remote-tracking branch 'origin/fix/1451-census-outcome-runs-in-parallel' into HEAD
112	/home/reyerchu/_ctrl2	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/gatekeeper_review.py: sha256 6ee1ddb6248ae5ba in this tree vs b816df0b94c3e229 on main a00f53f20; 256 lines across 2 file(s) absent from main (1217 lines behind). tip: Merge remote-tracking branch 'origin/fix/1208-gatekeeper-review-subprocess-bound' into HEA
112	/home/reyerchu/_ctrl3	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_discloses_denominator_check.py: sha256 221de674a19d564d in this tree vs 17fa7046f9b124ec on main a00f53f20; 444 lines across 6 file(s) absent from main (1436 lines behind). tip: Merge remote-tracking branch 'origin/fix/1181-consolidate-aggregate-bound' into HEAD
