host	path	verdict	evidence	shard
105	/home/reyerchu/.claude/plugins/marketplaces/vibe-ic-marketplace	LANDED	whole tree 86df130761f is byte-for-byte a tree origin/main publishes, at 74ac9fa788f (2026-08-19), against main 81cd5321b08. [LANDED, empty form: its head is already contained in main, so it owns nothing and every content check passes trivially. This says the DIRECTORY holds a state main has — not that any branch's work landed. Earlier heads in its reflog, all accounted for: 1ca2922f18f(owned=0 differ=0 all_0_match_main); 305ed247c53(owned=0 differ=0 all_0_match_main); 33d1b181503(owned=0 differ=0 all_0_match_main); 404e24c5627(owned=0 differ=0 all_0_match_main); 5e5a11f654c(owned=0 differ=0 all_0_match_main); 7b2c2ef93f9(owned=0 differ=0 all_0_match_main); 8011ce7c9b3(owned=0 differ=0 all_0_match_main).] [worktree HEAD when judged: 81cd5321b08 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/agent/jcapsha-capture`, so the commit survives the directory, the clone and the machine. Authority: that ref was RE-DERIVED 2026-08-22 after `origin/agent/j63b-63x8-reenumeration` was deleted from origin; the replacement was confirmed present by `git ls-remote`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/.codex/.tmp/marketplaces/vibe-ic-marketplace	RECOVER	0 of the 0 files it owns hold bytes main does not have. sha256(.codex-marketplace-install.json) = 45ad6e68ec7657e315dd301b45d427734d7c8a0df47a266e8a8d1c6b714f68e5 here, (no such path on origin/main) on main (main has no file at this path); that file is json, 7 lines — { [worktree HEAD when judged: 81cd5321b08 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/agent/jcapsha-capture`, so the commit survives the directory, the clone and the machine. Authority: that ref was RE-DERIVED 2026-08-22 after `origin/agent/j63b-63x8-reenumeration` was deleted from origin; the replacement was confirmed present by `git ls-remote`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_agent_scratch_spm9/vibe-ic	RECOVER	its HEAD holds nothing main lacks, but the WORKING TREE holds 1 modified + 1 new non-ignored file(s) that are on no branch at all. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/hold_corner_coverage_check.py) = 72b6d4ca113ba792e69ba1680a1c6a4a9790a7217988f2e29e320c4013f400b2 here, 97541ee933467c6e19118de2c095bbee2707fb3d8de6547b3e8c0781c3b3c8ca on main (+88/-506 lines vs main); that file is python, 615 lines — hold_corner_coverage_check.py — confirm hold is analysed at the FAST (FF) [worktree HEAD when judged: b85d68acc6c -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/agent/jcapsha-capture`, so the commit survives the directory, the clone and the machine. Authority: that ref was RE-DERIVED 2026-08-22 after `origin/agent/j63b-63x8-reenumeration` was deleted from origin; the replacement was confirmed present by `git ls-remote`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_c_car11_scratch/vic	ABANDON	superseded intermediate: all 1 of its differing files reverse-apply cleanly onto main, so main already contains its change and has moved further on the same files. Nothing in it is absent from main but an older copy of what main has. [worktree HEAD when judged: 420a1274d4a -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `refs/pull/588/head`, so the commit survives the directory, the clone and the machine. Authority: that ref was confirmed present by `git ls-remote origin` — note it is a PULL REQUEST head, which `--heads` does not list, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_fx63_rev	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/harvest/rescue-reanchor-1`, so the commit survives the directory, the clone and the machine. Authority: re-derived 2026-08-22 after the original anchor `origin/harvest/rescue-8HD-9-vibe-ic` was deleted from origin; the replacement was confirmed present by `git ls-remote --heads origin`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_fx63_rev2	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/harvest/rescue-reanchor-1`, so the commit survives the directory, the clone and the machine. Authority: re-derived 2026-08-22 after the original anchor `origin/harvest/rescue-8HD-9-vibe-ic` was deleted from origin; the replacement was confirmed present by `git ls-remote --heads origin`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_fx63_rev3	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/harvest/rescue-reanchor-1`, so the commit survives the directory, the clone and the machine. Authority: re-derived 2026-08-22 after the original anchor `origin/harvest/rescue-8HD-9-vibe-ic` was deleted from origin; the replacement was confirmed present by `git ls-remote --heads origin`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_fx63_rev4	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = b0ee7a61d7679f15663a0a462eb7756cff61e551feb8511a92b64c771a13a0ad here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+4/-57 lines vs main); that file is python, 63 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/harvest/rescue-reanchor-1`, so the commit survives the directory, the clone and the machine. Authority: re-derived 2026-08-22 after the original anchor `origin/harvest/rescue-8HD-9-vibe-ic` was deleted from origin; the replacement was confirmed present by `git ls-remote --heads origin`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_fx63_rev5	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/gen_adversarial_findings.py) = da837dafd4c6af2b051403e179c184bec1827c6055f25bd1c55273dfab90c5ee here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (+47/-56 lines vs main); that file is python, 107 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin> [worktree HEAD when judged: 083cc7d43c8 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/harvest/rescue-reanchor-1`, so the commit survives the directory, the clone and the machine. Authority: re-derived 2026-08-22 after the original anchor `origin/harvest/rescue-8HD-9-vibe-ic` was deleted from origin; the replacement was confirmed present by `git ls-remote --heads origin`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
105	/home/reyerchu/_gk1764	RECOVER	7 of the 7 files it owns hold bytes main does not have. sha256(tools/ci/routed_def_corpus.py) = dfbf00bf3b56fc7d47f0283532c2b6502807161b656886115f2686dc2960e856 here, d04b8215c5819192e7dcc0813629e35dfe48f13bd5a5fc0b7b41bb649e14310e on main (+25/-3 lines vs main); that file is python, 398 lines — Enumerate the routed-DEF hygiene corpus from git's index. [worktree HEAD when judged: e1741e86415 -- re-measure before acting; these hosts are live; judged against origin/main 81cd5321b08] [ON_REMOTE — safe to delete: its head is on origin, reachable from `origin/harvest/rescue-reanchor-11`, so the commit survives the directory, the clone and the machine. Authority: re-derived 2026-08-22 after the original anchor `origin/harvest/rescue-8HD-9-gk1764-movedhead-3` was deleted from origin; the replacement was confirmed present by `git ls-remote --heads origin`, not by a tracking ref — a tracking ref is a memory of origin and 537 of this clone's 678 were branches origin had deleted. `origin/HEAD` is never named: it is a local symbolic ref and `ls-remote --heads` does not list it.]	extra-8hd9
