host	path	verdict	evidence	shard	source
105	/home/reyerchu/_fx63	RECOVER	7 of the 7 files it owns differ from main. sha256(tools/gen_adversarial_findings.py) = e70f63498934e685c333b2cae54b88f5e1f576aea7a4ade0ea08e52f5155dfdc here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (119 lines here vs 116 on main); that file is python, 119 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin>	b	verdicts_joined.tsv
105	/home/reyerchu/_j63	RECOVER	8 of the 8 files it owns differ from main. sha256(tools/gen_adversarial_findings.py) = a18f08cb80435b34e143dd0e786f2a7d8e3c5b0a76a32f33b23e63c1a2d46d40 here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (152 lines here vs 116 on main); that file is python, 152 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin>	b	verdicts_joined.tsv
105	/home/reyerchu/_jf2	RECOVER	on host 105: 11 of the 11 files it owns differ from main. sha256(tools/gen_adversarial_findings.py) = f5e00b702f2c43b988ee26c60c8bc747d411e834f59c7aca7e793569dd34d23a here, 4f828b5cb05df04c560c0ceae90dd65e592935667dbc0e1655445727539f0042 on main (161 lines here vs 116 on main); that file is python, 161 lines — Generate programs/adversarial_findings.json from a LIVE campaign. argv: <plugin>	b	verdicts_joined.tsv
105	/home/reyerchu/_jppa_p0/tree	ABANDON	superseded intermediate: all 1 of its differing files reverse-apply cleanly onto main, i.e. its own change is already contained in main and main has since moved further on those same files. Nothing in it is absent from main except an older copy of what main already has.	b	verdicts_joined.tsv
105	/home/reyerchu/_jppa_runner/tree	LANDED	every one of the 3 files it owns is byte-identical to main: sha256 of `git show 8b055905044:<path>` equals sha256 of `git show origin/main:<path>` for all 3, against main a00f53f2094. Working tree clean.	b	verdicts_joined.tsv
105	/home/reyerchu/_jppa_timing/base	LANDED	it owns no files, so 'all 0 matched' would be vacuous; instead its whole tree 78409748745 is byte-for-byte a tree origin/main publishes, at 867de428920, against main a00f53f2094. A tree OID is a recursive content hash, so every file in it matches a state main published. Working tree clean.	b	verdicts_joined.tsv
105	/home/reyerchu/_jppatests	RECOVER	12 of the 27 files it owns differ from main. sha256(RESULT.md) = 5cdfeeb29e2ed1fae1fb6b5fcfb68f63d0471408c1369bc50fb2df74a2b7a357 here, (origin/main has no file at this path) on main (534 lines, a path main does not carry); that file is markdown, 534 lines — PPA layer — a test suite for the LAYER, run, and what it found	b	verdicts_joined.tsv
105	/home/reyerchu/_jppatests_base	LANDED	it owns no files, so 'all 0 matched' would be vacuous; instead its whole tree f2a0cd73788 is byte-for-byte a tree origin/main publishes, at e36d81c0a39, against main a00f53f2094. A tree OID is a recursive content hash, so every file in it matches a state main published. Working tree clean.	b	verdicts_joined.tsv
105	/home/reyerchu/_jrc	RECOVER	1 of the 4 files it owns differ from main. sha256(RESULT.md) = 3e7d1aca5a18b6c3d323a957c5e45a157789e6df3beb5e704e83545137c22ee8 here, (origin/main has no file at this path) on main (454 lines, a path main does not carry); that file is markdown, 454 lines — The PPA exit-code contract: three of the eleven were program defects, eight were not	b	verdicts_joined.tsv
105	/home/reyerchu/_wt_synthfe	RECOVER	0 of the 0 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/design_one_shot_runner.py) = 65f03acbef4447e12853c1c177a197370815bc176080b98811fedf63fe950532 here, a7721eade1195878fdcc9cce2f5d39b331c4df430ba88382165c9edabcb27a32 on main (uncommitted, on no branch); that file is python, 13211 lines — design_one_shot_runner.py — the DESIGN one-shot runner (Phase 1 -> Phase 2:; 2 modified + 1 new uncommitted file(s) on no branch	b	verdicts_joined.tsv
105	/home/reyerchu/campaign_v164_spm_ihp/wt_hand	RECOVER	1 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/foundry_handoff_pack_gen.py) = 6b63d4f65d0615f8463b35d95746e3c18ba99bd741446402b9963b79bd5799ce here, 65d51ce55ac75dcc38222e1078b404c82b75715442957d1556ee106eea9ce1d2 on main (585 lines here vs 1253 on main); that file is python, 585 lines — foundry_handoff_pack_gen.py — emit Step 35 foundry handoff package skeleton.	b	verdicts_joined.tsv
105	/home/reyerchu/campaign_v164_spm_ihp/wt_reg	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/pdk_registry.json) = 01d16480750e768f5807bf5f3f362d9fb11ba27e178e70d1e867bf40d26147a7 here, a094ed9e0bf50dae73caa6094862236482a21a2a5f28f1c9ec75c66242e842da on main (445 lines here vs 426 on main); that file is json, 445 lines — {	b	verdicts_joined.tsv
105	/home/reyerchu/vibe-ic-wt-approachA-a857c45b	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = e2311955fe1050ab7ed4cad08aef6ae0123c957a4c9e8358eb49554094fe73ea here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (23577 lines here vs 41667 on main); that file is python, 23577 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS).	b	verdicts_joined.tsv
